Collection Title,"Somali Songs, 1955-1991: The Maryan “Aryette” Omar Ali Collection"
Collection Dates,Creation: 1955 - 1991
Collection Identifier,AWM Spec Coll 103
EAD ID,mus00044

Database Number,Component Title,Component Date,Start Year,End Year,Component identifier,Container info,Component type,Component creator,Digital content link,Access Note,Physical description,Level 1,Level 2
mus00044c00386,Side B. Track 1: Shinni waliba malabkeed,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Moogeh (Ahmed Mogeh) and female singers, 
mus00044c00387,Side B. Track 2: Tiiraanyo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Moogeh (Ahmed Mogeh) and female singers, 
mus00044c00388,Side B. Track 3: Ruux walaal ku moodaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Moogeh (Ahmed Mogeh) and female singers, 
mus00044c00389,Side B. Track 4: Mee jaallahay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Moogeh (Ahmed Mogeh) and female singers, 
mus00044c00040,Untitled: Cassette 40,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12238",item,,"","","",Audiocassettes, , 
mus00044c00390,Side A. Track 1: Harag shabeel,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00391,Side A. Track 2: Uurkaa ku Tabayee (or: Haro idhanka joogiyo) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00392,Side A. Track 3: Garashada xasuuso (or: Mar haddaynu nahay gacal),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00393,Side B. Track 1: Waranka Caashaqa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00394,Side B. Track 2: La gurguuro caashaqa  (or: Waa godob jacayl),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00395,Side B. Track 4: Kala hadhi maynee (or: Hilbaheennaa isku yaallee),"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00396,Side B. Track 5: Sheekhaagu waa kuma (or: Horta yaad la showrtaan) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 40, 
mus00044c00041,Untitled: Cassette 41,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12239",item,,"","","",Audiocassettes, , 
mus00044c00397,Side A. Track 1: Bal dadyow adduunka  ,"",1964-12-08,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00398,Side A. Track 2: Caloolyow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00399,Side A. Track 3: Geeddi roon Allahayoow ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00400,Side B. Track 1: Iga Tiiri Caashaqa (or: Tii keli ahaydee qurux) ,"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00401,Side B. Track 2: Aakaba,"",1972,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00402,"Side B. Track 3: Siraadeey
","",1973,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00403,Side B. Track 4: Damaq Jacayl ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 41, 
mus00044c00042,Heesaha Calanka (Songs for the Flag),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12240",item,,"","","",Audiocassettes, , 
mus00044c00404,Side A. Track 1: Waa mahad Allee  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00405,Side A. Track 2: Waa maalintaynu,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00406,Side A. Track 3: Calanyahow ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00407,Side B. Track 1: Calanyahow ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00408,Side B. Track 2: Uma kala sokaynnee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00409,Side B. Track 3: Daansha Daanshood ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00410,Side B. Track [4?]: Adigiyo hodaniyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Calanka (Songs for the Flag), 
mus00044c00043,Galbeed waa la xoreeyey,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12241",item,,"","","",Audiocassettes, , 
mus00044c00411,Side A. Track 1: Sayloo (or Sanka kula raacaa),"",1978,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Galbeed waa la xoreeyey, 
mus00044c00412,Side A. Track 2: Guyaal Caashaqii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Galbeed waa la xoreeyey, 
mus00044c00413,Side A. Track 3: Waa lur iyo caashaq,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Galbeed waa la xoreeyey, 
mus00044c00414,Side B. Track 1: Daa’uus ,"",1977,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Galbeed waa la xoreeyey, 
mus00044c00415,Side B. Track 2: Gadhba Gadh ,"",1977,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Galbeed waa la xoreeyey, 
mus00044c00044,Cismaan Maxamed “Gacanlo”,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12242",item,,"","","",Audiocassettes, , 
mus00044c00416,Side A. Track 1: Dhalad Qaraami ,"",1965-04-02,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00417,Side A. Track 2: Laaylaay Qaraami,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00418,Side A. Track 3: Mushaax,"",1967-07-05,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00419,Side A. Track 4: Hudhud Qaraami ,"",1965-12-16,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00420,Side B. Track 1: Irkad,"",1967-04-04,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00421,Side B. Track 2: Raaxeeye Qaraami ,"",1965-11-16,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00422,Side B. Track 3: Muunisa,"",1968-12-10,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00423,Side B. Track 4: Waqal ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cismaan Maxamed “Gacanlo”, 
mus00044c00045,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE],"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12243",item,,"","","",Audiocassettes, , 
mus00044c00424,[Side A. Track 1: Isa soo maqiiq],"",1964-01-12,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00425,[Side A. Track 2: Jiib Qaraami (in Qaraami genre)],"",1962-06-20,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00426,[Side A. Track 3: Dhool Bari],"",1962-06-20,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00427,[Side A. Track 4: Jacayl Daran],"",1974-09-15,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00428,[Side B. Track 1: Durdur],"",1963-10-19,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00429,[Side B. Track 2: Inakoon kala maarmayn],"",1963-09-05,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00430,[Side B. Track 3: Ii hilow],"",1964-03-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00431,[Side B. Track 4: Hayaan Qaraami],"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,[BLANK TAPE] Maxamed Axmed “Kuluc” (Mohamed Ahmed Kulu’) [BLANK TAPE], 
mus00044c00046,Untitled: Cassette 46,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12244",item,,"","","",Audiocassettes, , 
mus00044c00432,Side A. Track 1: Naftu maarmi waydo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00433,Side A. Track 2: Cidla haygu baylihin ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00434,Side A. Track 3: Soo noqo adoo nabad ah ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00435,Side A. Track 4: Webigii jacaylka ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00436,Side B. Track 1: Hodan hayga ciilin ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00437,Side B. Track 2: Arji ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00438,Side B. Track 3: Xilahiisa noqotaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00439,Side B. Track 4: Naftu maarmi waydo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 46, 
mus00044c00047,Qaraami by Cumar Dhuule (Omar Dule),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12245",item,,"","","",Audiocassettes, , 
mus00044c00440,Side A. Track 1: Qaraami 1,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00441,Side A. Track 2: Qaraami 2,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00442,"Side A. Track 3: Qaraami 3
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00443,"Side A. Track 4: Qaraami 4
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00444,Side B. Track 1: Qaraami 5,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00445,Side B. Track 2: Qaraami 6,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00446,Side B. Track 3: Qaraami 7,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00447,Side B. Track 4: Qaraami 8,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami by Cumar Dhuule (Omar Dule), 
mus00044c00048,Untitled: Cassette 48,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12246",item,,"","","",Audiocassettes, , 
mus00044c00448,Side A. Track 1: Beeni raad ma leh ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00449,Side A. Track 2: Onkod ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00450,Side A. Track 3: Jiriirico ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00451,Side B. Track 1: Daa’uus (or Inankii dayoowyow),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00452,Side B. Track 2: Kala maarmi maayaan,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00453,Side B. Track 3: Geestaada ila qabo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00454,Side B. Track 4: Haddaad Iga Maqnaato,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Untitled: Cassette 48, 
mus00044c00049,Kinsi Aadan (Kinsi Aden),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12247",item,,"","","",Audiocassettes, , 
mus00044c00455,Side A. Track 1: Xaggaaga markaan u ciiray ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00456,Side A. Track 2: Miyaan kaaba baydhaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00457,Side A. Track 3: Waa dacaree soo bood ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00458,Side A. Track 4: Qadar dhacay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00459,Side B. Track 1: Kuu baryaa Ilaahay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00460,Side B. Track 2: Yax ma idhi jacayl ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00461,Side B. Track 3: Inaan weli abraarayo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00462,Side B. Track 4: Intuu firirka caashaqu,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kinsi Aadan (Kinsi Aden), 
mus00044c00050,Dooni Jacaylka,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12248",item,,"","","",Audiocassettes, , 
mus00044c00463,Side A. Track 1: Suuldhabaale waa hadal ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00464,Side A. Track 2: Rabtay sheekadeennee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00465,Side A. Track 3: Ma jidka siraat,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00466,Side A. Track 4: Qadar dhacay part I,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00467,Side B. Track 1: Qadar dhacay part II,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00468,Side B. Track 2: Illayn caashaq nabadeed (also Marna taan calmaday baan) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00469,Side B. Track 3: Wisiisi,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00470,Side B. Track 4: Doonidii jacaylka,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Dooni Jacaylka, 
mus00044c00055,Khadra Daahir Cigeh (Khadar Dahir),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12249",item,,"","","",Audiocassettes, , 
mus00044c00471,Side A. Track 1: Sheeko baraleey ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00472,Side A. Track 2: Wayska xaal adduun ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00473,Side A. Track 3: Mahiigaan ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00474,Side A. Track 4: Laqanyada jacaylka ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00475,Side B. Track 1: Bisinka,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00476,Side B. Track 2: Darin (or: Dookh jacayl) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00477,"Side B. Track 3: Gabbaldaye
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Khadra Daahir Cigeh (Khadar Dahir), 
mus00044c00056,Maxamed Mooge Liibaan (Mohamed Mogeh Liban),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12250",item,,"","","",Audiocassettes, , 
mus00044c00478,Side A. Track 1: Aduun baa ba gabadhyey ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00479,Side A. Track 2: Dhayal looma heesee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00480,Side A. Track 3: Adduunyooy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00481,Side A. Track 4: Intaa waad ogsoonayd,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00482,Side A. Track 5: Xaajigii ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00483,Side B. Track 1: Waxaan tagay Shabcaantii ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00484,Side B. Track 2: Haddii jacayl sir laga dhigo  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00485,Side B. Track 3: Xeebta Jabuutee Soomaali laga xaday,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00486,Side B. Track 4: Idileey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Mooge Liibaan (Mohamed Mogeh Liban), 
mus00044c00057,Cumar Dhuule (Omar Dhule),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12251",item,,"","","",Audiocassettes, , 
mus00044c00487,Side A. Track 1: Waan daalayee,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00488,Side A. Track 2: Baydhabo ma gaadhnaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00489,Side A. Track 3: Nimcooy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00490,Side A. Track 4: Shafka Igu camcami,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00491,Side B. Track 1: Dayax-gacmeedeey  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00492,"Side B. Track 2: Ila heshii
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00493,Side B. Track 3: Walaalkaa i necebaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00494,Side B. Track 4: Bulliyeey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule (Omar Dhule), 
mus00044c00058,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)","",1964-04-29,1967-06-20,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12252",item,,"","","",Audiocassettes, , 
mus00044c00495,Side A. Track 1: Dharaartaan,"",1964-04-29,1967-06-20,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00496,Side A. Track 2: Waa mahad Allee    ,"",1964-04-29,1967-06-20,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00497,Side A. Track 3: Soomaaliyeey soconnoo,"",1967-06-20,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00498,Side B. Track 1: Waa cawadii ,"",1964-04-29,1967-06-20,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00499,Side B. Track 2: Caawa ledanyaayow ,"",1964-04-29,1967-06-20,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00500,Side B. Track 3: Na bal kaalay oo bal kaalay ,"",1964-04-29,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Heesaha Calanka: Maxamed Suleebaan, Cismaan Maxamed and others (Mohamed Suleiman, Osman Mohamed, and others)", 
mus00044c00059,Maxamed Suleebaan (Mohamed Suleiman),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12253",item,,"","","",Audiocassettes, , 
mus00044c00501,"Side A. Track 1: Ruuneey
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00502,Side A. Track 2: Riyo (Or: Anigaa rafaaday),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00503,Side A. Track 3: Dhool Gu’,"",1966-05-23,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00504,Side A. Track 4: Haweeyaay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00505,Side B. Track 1: Deeqa dabac wanaag,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00506,Side B. Track 2: Malyuun Hibo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00507,Side B. Track 3: Dhabankiyo gamcu,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00508,Side B. Track 4: Ma ogtahay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan (Mohamed Suleiman), 
mus00044c00060,Kooxda Horseed (Horseed Band),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12254",item,,"","","",Audiocassettes, , 
mus00044c00509,Side A. Track 1: Ma ladniyee cishqaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00510,Side A. Track 2: Mid kuu roon Rabbaa og ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00511,Side A. Track 3: Hadduu xaalku sidaa yahay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00512,Side B. Track 1: Naftu raalli kaa tahay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00513,Side B. Track 2: Ha igu toobad seegina ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00514,Side B. Track 3: Dhalantaali kugu noqoy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Kooxda Horseed (Horseed Band), 
mus00044c00062,Untitled: Cassette 57 (Miscellaneous),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12255",item,,"","","",Audiocassettes, , 
